initial_water,initial_food,training_samples,baseline_failure_rate,baseline_mean_value,adverse_failure_rate,adverse_mean_value,adverse_p05
180,180,3000,0.0008888888888888889,7798.6,0.0067777777777777775,7661.1875,7437.5
185,185,3000,0.0003333333333333333,7765.1594444444445,0.002777777777777778,7652.932222222223,7400.0
190,190,3000,0.0003333333333333333,7727.671944444444,0.0022222222222222222,7619.523888888889,7362.5
195,195,3000,0.0,7692.546666666667,0.0006666666666666666,7593.140555555556,7325.0
200,200,3000,0.0,7655.046666666667,0.0003333333333333333,7558.006944444444,7287.5
205,205,3000,0.0,7617.546666666667,0.0,7522.836666666667,7250.0
210,210,3000,0.0,7580.046666666667,0.0,7485.336666666667,7212.5
215,215,3000,0.0,7542.546666666667,0.0,7447.836666666667,7175.0
220,220,3000,0.0,7505.046666666667,0.0,7410.336666666667,7137.5
