player,route_index,route,voluntary_waits,initial_water,initial_food,samples,failures,failure_rate,failure_wilson_low,failure_wilson_high,mean_value,training_risk_budget,training_feasible
1,18,1-2-7-8-9-14-19-24-25,1,225,230,1500,11,0.007333333333333333,0.004099723207137282,0.01308390919581488,7150.786666666667,0.005,False
1,19,1-2-7-8-13-14-15-20-25,0,215,215,1500,1,0.0006666666666666666,0.00011769273167436408,0.0037666654142135486,7459.925,0.005,True
1,19,1-2-7-8-13-14-15-20-25,1,225,230,1500,87,0.058,0.047261512311441406,0.07099660444519904,6619.993333333333,0.005,False
1,20,1-2-7-8-13-14-19-20-25,0,215,215,1500,1,0.0006666666666666666,0.00011769273167436408,0.0037666654142135486,7459.925,0.005,True
1,20,1-2-7-8-13-14-19-20-25,1,225,230,1500,34,0.02266666666666667,0.016265302571047073,0.03150666062315286,6949.606666666667,0.005,False
1,21,1-2-7-8-13-14-19-24-25,0,215,215,1500,9,0.006,0.0031598175797059123,0.011363959971833398,7322.701666666667,0.005,False
1,21,1-2-7-8-13-14-19-24-25,1,225,230,1500,11,0.007333333333333333,0.004099723207137282,0.01308390919581488,7150.786666666667,0.005,False
1,22,1-2-7-8-13-18-19-20-25,0,215,215,1500,1,0.0006666666666666666,0.00011769273167436408,0.0037666654142135486,7459.925,0.005,True
1,22,1-2-7-8-13-18-19-20-25,1,225,230,1500,34,0.02266666666666667,0.016265302571047073,0.03150666062315286,6949.606666666667,0.005,False
1,23,1-2-7-8-13-18-19-24-25,0,215,215,1500,9,0.006,0.0031598175797059123,0.011363959971833398,7322.701666666667,0.005,False
1,23,1-2-7-8-13-18-19-24-25,1,225,230,1500,11,0.007333333333333333,0.004099723207137282,0.01308390919581488,7150.786666666667,0.005,False
1,24,1-2-7-8-13-18-23-24-25,0,215,215,1500,40,0.02666666666666667,0.019643899897707005,0.036107627850731475,7082.6,0.005,False
1,24,1-2-7-8-13-18-23-24-25,1,225,230,1500,11,0.007333333333333333,0.004099723207137282,0.01308390919581488,7150.786666666667,0.005,False
1,25,1-2-7-12-13-14-15-20-25,0,215,215,1500,1,0.0006666666666666666,0.00011769273167436408,0.0037666654142135486,7459.925,0.005,True
1,25,1-2-7-12-13-14-15-20-25,1,225,230,1500,87,0.058,0.047261512311441406,0.07099660444519904,6619.993333333333,0.005,False
1,26,1-2-7-12-13-14-19-20-25,0,215,215,1500,1,0.0006666666666666666,0.00011769273167436408,0.0037666654142135486,7459.925,0.005,True
1,26,1-2-7-12-13-14-19-20-25,1,225,230,1500,34,0.02266666666666667,0.016265302571047073,0.03150666062315286,6949.606666666667,0.005,False
1,27,1-2-7-12-13-14-19-24-25,0,215,215,1500,9,0.006,0.0031598175797059123,0.011363959971833398,7322.701666666667,0.005,False
1,27,1-2-7-12-13-14-19-24-25,1,225,230,1500,11,0.007333333333333333,0.004099723207137282,0.01308390919581488,7150.786666666667,0.005,False
1,28,1-2-7-12-13-18-19-20-25,0,215,215,1500,1,0.0006666666666666666,0.00011769273167436408,0.0037666654142135486,7459.925,0.005,True
1,28,1-2-7-12-13-18-19-20-25,1,225,230,1500,34,0.02266666666666667,0.016265302571047073,0.03150666062315286,6949.606666666667,0.005,False
1,29,1-2-7-12-13-18-19-24-25,0,215,215,1500,9,0.006,0.0031598175797059123,0.011363959971833398,7322.701666666667,0.005,False
1,29,1-2-7-12-13-18-19-24-25,1,225,230,1500,11,0.007333333333333333,0.004099723207137282,0.01308390919581488,7150.786666666667,0.005,False
1,30,1-2-7-12-13-18-23-24-25,0,215,215,1500,40,0.02666666666666667,0.019643899897707005,0.036107627850731475,7082.6,0.005,False
1,30,1-2-7-12-13-18-23-24-25,1,225,230,1500,11,0.007333333333333333,0.004099723207137282,0.01308390919581488,7150.786666666667,0.005,False
1,31,1-2-7-12-17-18-19-20-25,0,215,215,1500,1,0.0006666666666666666,0.00011769273167436408,0.0037666654142135486,7459.925,0.005,True
1,31,1-2-7-12-17-18-19-20-25,1,225,230,1500,34,0.02266666666666667,0.016265302571047073,0.03150666062315286,6949.606666666667,0.005,False
1,32,1-2-7-12-17-18-19-24-25,0,215,215,1500,9,0.006,0.0031598175797059123,0.011363959971833398,7322.701666666667,0.005,False
1,32,1-2-7-12-17-18-19-24-25,1,225,230,1500,11,0.007333333333333333,0.004099723207137282,0.01308390919581488,7150.786666666667,0.005,False
1,33,1-2-7-12-17-18-23-24-25,0,215,215,1500,40,0.02666666666666667,0.019643899897707005,0.036107627850731475,7082.6,0.005,False
1,33,1-2-7-12-17-18-23-24-25,1,225,230,1500,11,0.007333333333333333,0.004099723207137282,0.01308390919581488,7150.786666666667,0.005,False
1,34,1-2-7-12-17-22-23-24-25,0,215,215,1500,119,0.07933333333333334,0.06670646762987423,0.09410932674937181,6629.871666666667,0.005,False
1,34,1-2-7-12-17-22-23-24-25,1,225,230,1500,11,0.007333333333333333,0.004099723207137282,0.01308390919581488,7150.786666666667,0.005,False
1,35,1-6-7-8-9-10-15-20-25,0,215,215,1500,8,0.005333333333333333,0.0027049287623018017,0.010488921363531084,7327.83,0.005,False
1,35,1-6-7-8-9-10-15-20-25,1,225,230,1500,91,0.06066666666666667,0.04967170257629275,0.0739061238831734,6603.056666666666,0.005,False
1,36,1-6-7-8-9-14-15-20-25,0,215,215,1500,8,0.005333333333333333,0.0027049287623018017,0.010488921363531084,7327.83,0.005,False
1,36,1-6-7-8-9-14-15-20-25,1,225,230,1500,37,0.024666666666666667,0.017948070059721124,0.033813675411598076,6937.51,0.005,False
1,37,1-6-7-8-9-14-19-20-25,0,215,215,1500,8,0.005333333333333333,0.0027049287623018017,0.010488921363531084,7327.83,0.005,False
1,37,1-6-7-8-9-14-19-20-25,1,225,230,1500,10,0.006666666666666667,0.003625216034182259,0.01222848894306348,7155.673333333333,0.005,False
1,38,1-6-7-8-9-14-19-24-25,0,215,215,1500,41,0.027333333333333334,0.02021183428351895,0.03686962089062596,7079.048333333333,0.005,False
1,38,1-6-7-8-9-14-19-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
1,39,1-6-7-8-13-14-15-20-25,0,215,215,1500,8,0.005333333333333333,0.0027049287623018017,0.010488921363531084,7327.83,0.005,False
1,39,1-6-7-8-13-14-15-20-25,1,225,230,1500,37,0.024666666666666667,0.017948070059721124,0.033813675411598076,6937.51,0.005,False
1,40,1-6-7-8-13-14-19-20-25,0,215,215,1500,8,0.005333333333333333,0.0027049287623018017,0.010488921363531084,7327.83,0.005,False
1,40,1-6-7-8-13-14-19-20-25,1,225,230,1500,10,0.006666666666666667,0.003625216034182259,0.01222848894306348,7155.673333333333,0.005,False
1,41,1-6-7-8-13-14-19-24-25,0,215,215,1500,41,0.027333333333333334,0.02021183428351895,0.03686962089062596,7079.048333333333,0.005,False
1,41,1-6-7-8-13-14-19-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
1,42,1-6-7-8-13-18-19-20-25,0,215,215,1500,8,0.005333333333333333,0.0027049287623018017,0.010488921363531084,7327.83,0.005,False
1,42,1-6-7-8-13-18-19-20-25,1,225,230,1500,10,0.006666666666666667,0.003625216034182259,0.01222848894306348,7155.673333333333,0.005,False
1,43,1-6-7-8-13-18-19-24-25,0,215,215,1500,41,0.027333333333333334,0.02021183428351895,0.03686962089062596,7079.048333333333,0.005,False
1,43,1-6-7-8-13-18-19-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
1,44,1-6-7-8-13-18-23-24-25,0,215,215,1500,108,0.072,0.05998329482631877,0.08620329787015658,6679.266666666666,0.005,False
1,44,1-6-7-8-13-18-23-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
1,45,1-6-7-12-13-14-15-20-25,0,215,215,1500,8,0.005333333333333333,0.0027049287623018017,0.010488921363531084,7327.83,0.005,False
1,45,1-6-7-12-13-14-15-20-25,1,225,230,1500,37,0.024666666666666667,0.017948070059721124,0.033813675411598076,6937.51,0.005,False
1,46,1-6-7-12-13-14-19-20-25,0,215,215,1500,8,0.005333333333333333,0.0027049287623018017,0.010488921363531084,7327.83,0.005,False
1,46,1-6-7-12-13-14-19-20-25,1,225,230,1500,10,0.006666666666666667,0.003625216034182259,0.01222848894306348,7155.673333333333,0.005,False
1,47,1-6-7-12-13-14-19-24-25,0,215,215,1500,41,0.027333333333333334,0.02021183428351895,0.03686962089062596,7079.048333333333,0.005,False
1,47,1-6-7-12-13-14-19-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
1,48,1-6-7-12-13-18-19-20-25,0,215,215,1500,8,0.005333333333333333,0.0027049287623018017,0.010488921363531084,7327.83,0.005,False
1,48,1-6-7-12-13-18-19-20-25,1,225,230,1500,10,0.006666666666666667,0.003625216034182259,0.01222848894306348,7155.673333333333,0.005,False
1,49,1-6-7-12-13-18-19-24-25,0,215,215,1500,41,0.027333333333333334,0.02021183428351895,0.03686962089062596,7079.048333333333,0.005,False
1,49,1-6-7-12-13-18-19-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
1,50,1-6-7-12-13-18-23-24-25,0,215,215,1500,108,0.072,0.05998329482631877,0.08620329787015658,6679.266666666666,0.005,False
1,50,1-6-7-12-13-18-23-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
1,51,1-6-7-12-17-18-19-20-25,0,215,215,1500,8,0.005333333333333333,0.0027049287623018017,0.010488921363531084,7327.83,0.005,False
1,51,1-6-7-12-17-18-19-20-25,1,225,230,1500,10,0.006666666666666667,0.003625216034182259,0.01222848894306348,7155.673333333333,0.005,False
1,52,1-6-7-12-17-18-19-24-25,0,215,215,1500,41,0.027333333333333334,0.02021183428351895,0.03686962089062596,7079.048333333333,0.005,False
1,52,1-6-7-12-17-18-19-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
1,53,1-6-7-12-17-18-23-24-25,0,215,215,1500,108,0.072,0.05998329482631877,0.08620329787015658,6679.266666666666,0.005,False
1,53,1-6-7-12-17-18-23-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
1,54,1-6-7-12-17-22-23-24-25,0,215,215,1500,282,0.188,0.16903377523247706,0.20856018953691616,5803.613333333334,0.005,False
1,54,1-6-7-12-17-22-23-24-25,1,225,230,1500,3,0.002,0.0006804084719908739,0.005863804525309888,7287.953333333333,0.005,True
1,55,1-6-11-12-13-14-15-20-25,0,215,215,1500,42,0.028,0.020781020505694248,0.037630362094157085,7073.6466666666665,0.005,False
1,55,1-6-11-12-13-14-15-20-25,1,225,230,1500,37,0.024666666666666667,0.017948070059721124,0.033813675411598076,6937.51,0.005,False
1,56,1-6-11-12-13-14-19-20-25,0,215,215,1500,42,0.028,0.020781020505694248,0.037630362094157085,7073.6466666666665,0.005,False
1,56,1-6-11-12-13-14-19-20-25,1,225,230,1500,10,0.006666666666666667,0.003625216034182259,0.01222848894306348,7155.673333333333,0.005,False
1,57,1-6-11-12-13-14-19-24-25,0,215,215,1500,107,0.07133333333333333,0.05937394629575595,0.08548271897501297,6683.471666666666,0.005,False
